역번호,역사명,노선번호,노선명,영문역사명,한자역사명,환승역구분,환승노선번호,환승노선명,역위도,역경도,운영기관명,역사도로명주소,역사전화번호,데이터기준일자
313,서울역(경의선),k0203,경의중앙선,Seoul station,,환승역,,경의/1/4,37.554713,126.970787,한국철도공사,서울시 용산구 한강대로 405,02-392-1324,2017-05-12
314,신촌역,k0203,경의중앙선,Sinchon,新 村,일반역,,,37.559768,126.942308,한국철도공사,서울특별시 서대문구 대현동 74-12,02-363-7788,2017-05-12
315,가좌역,k0203,경의중앙선,Gajwa,加 佐,환승역,,,37.568611,126.914841,한국철도공사,서울시 서대문구 수색로 27(남가좌동),02-373-1280,2017-05-12
311,효창공원앞역,k2031,경의중앙선,hyochang park,孝昌公圓앞,환승역,,경의중앙/6,37.539289,126.961339,한국철도공사,서울시 용산구 용문동 5-133,02-701-6418,2017-05-12
312,공덕역,k0203,경의중앙선,Gongdeok,孔德,환승역,,5/6/경의중앙,37.542611,126.952134,한국철도공사,서울시 마포구 공덕동 마포대로 자하100,02-6311-6261,2017-05-12
313,서강대역,k0203,경의중앙선,Sogang Univ,西江大,일반역,,,37.552132,126.935389,한국철도공사,서울시 마포구 서강로 지하118,02-712-5288,2017-05-12
314,홍대입구역,k2031,경의중앙선,Hongik Univ.,弘大入口,환승역,,2/공항/경의중앙,37.55808,126.925533,한국철도공사,서울시 마포구 양화로 지하 188,02-322-7898,2017-05-12
316,디지털미디어시티역,k0203,경의중앙선,Digital Media City,디지털미디어시티,환승역,,6/공항/경의중앙,37.577964,126.900421,한국철도공사,서울시 은평구 수색로 193(수색동 37-2),02-305-1030,2017-05-12
317,수색역,k0203,경의중앙선,Susaek,水 色,일반역,,,37.580855,126.895681,한국철도공사,서울시 은평구 수색로 261-1,02-305-7788,2017-05-12
116,왕십리역,k0205,경의중앙선,Wangsimni,往十里,환승역,k0205+k0304,경의중앙/분당/2/5,37.561128,127.035505,한국철도공사,서울시 성동구 왕십리 광장로 17(행당동),02-2291-7787,2017-05-12
117,청량리역,k0205,경의중앙선,Cheongnyangni,淸凉里,환승역,k0205+k0210,경원/경춘/1,37.580543,127.046516,한국철도공사,서울시 동대문구 왕산로 214,02-3299-7151,2017-05-12
123,회기역,k0205,경원선,Hoegi,回 基,환승역,k0205+k0210,경의중앙/경춘/1,37.589802,127.057936,한국철도공사,서울시 동대문구 회기로196(휘경동 317-101),02-965-1467,2017-05-12
122,외대앞역,k0205,경원선,Hankuk Univ. of Foreign Studies,外大앞,일반역,,,37.596157,127.063572,한국철도공사,서울시 동대문구 휘경로 27(이문동 360-5),02-966-6705,2017-05-12
121,신이문역,k0205,경원선,Sinimun,新里門,일반역,,,37.601829,127.067347,한국철도공사,서울시 동대문구 한천로 472(이문로 7),02-960-1871,2017-05-12
120,석계역,k0205,경원선,Seokgye,石 溪,환승역,,경원/6,37.615206,127.065594,한국철도공사,서울시 노원구 화랑로 314(월계동 36-4),02-943-7788,2017-05-12
119,광운대역,k0205,경원선,Kwangwoon Univ.,城 北,환승역,,경춘/1,37.623635,127.061975,한국철도공사,서울시 노원구 석계로 98-2(광운대역),02-917-7445,2017-05-12
118,월계역,k0205,경원선,Wolgye,月 溪,일반역,,,37.633114,127.058835,한국철도공사,서울시 노원구 월계로 53길 40(월계2동 261),02-900-4855,2017-05-12
